id_k2;nazev;zkratka;mena;cena;mnozstvi;
38037;  ODPOR SMD 0603 10M/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 10M/F 0,1W (V PASU) RoHS                        ;USD;0,0007;2;
26409;  ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS                         ;  ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS                         ;USD;0,0006;2;
18031;  ODPOR SMD 0603 1M/F 0,1W (V PASU) RoHS                         ;  ODPOR SMD 0603 1M/F 0,1W (V PASU) RoHS                         ;USD;0,0006;3;
26411;  ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS                        ;EUR;0,00040;4;
28573;  ODPOR SMD 0603 33K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 33K/F 0,1W (V PASU) RoHS                        ;USD;0,0006;1;
26988;  ODPOR SMD 0603 56K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 56K/F 0,1W (V PASU) RoHS                        ;USD;0,0006;2;
20077;  ODPOR SMD 0603 12K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 12K/F 0,1W (V PASU) RoHS                        ;USD;0,0006;2;
35951;  ODPOR SMD 0603 18K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 18K/F 0,1W (V PASU) RoHS                        ;USD;0,0006;1;
26778;  ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS                        ;USD;0,0006;3;
35514;  ODPOR SMD 0603 470R/F 0,1W (V PASU) RoHS                       ;  ODPOR SMD 0603 470R/F 0,1W (V PASU) RoHS                       ;USD;0,0006;2;
35575;  FERIT MURATA BLM18AG102SN1D (SMD 0603, 1Kohm/400mA) RoHS       ;  FERIT MURATA BLM18AG102SN1D (SMD 0603, 1Kohm/400mA) RoHS       ;EUR;0,00700;6;
39130;  AD8131ARZ (SMD SO-8) RoHS                                      ;  AD8131ARZ (SMD SO-8) RoHS                                      ;USD;1,82000;1;
41906;  OPA656U (SMD SO-8) RoHS                                        ;  OPA656U (SMD SO-8) RoHS                                        ;EUR;5,12000;1;
41904;  AD8036ARZ (SMD SO-8) RoHS                                      ;  AD8036ARZ (SMD SO-8) RoHS                                      ;USD;5,1;1;
