idp;idm;zkratka;nazev;pocet;cena_kc;cena_cm;mena;id_k2
1;214;1M R0603 R418;1M R0603 R418;1;0,010;0,010;CZK;18031
1;215;1K0 R0603 R419;1K0 R0603 R419;1;0,010;0,010;CZK;26409
1;216;2K0 R0603 R420;2K0 R0603 R420;1;0,010;0,010;CZK;21249
1;217;300R R0603 R421;300R R0603 R421;1;0,010;0,010;CZK;33956
1;218;47K R0603 R422;47K R0603 R422;1;0,010;0,010;CZK;26411
1;219;470R R0603 R423;470R R0603 R423;1;0,010;0,010;CZK;35514
1;220;150R R0603 R424;150R R0603 R424;1;0,010;0,010;CZK;26410
1;221;120R R0603 R425;120R R0603 R425;1;0,010;0,010;CZK;27070
1;222;10K R0603 R501;10K R0603 R501;1;0,010;0,010;CZK;26778
1;223;10K R0603 R502;10K R0603 R502;1;0,010;0,010;CZK;26778
1;224;300K R0603 R503;300K R0603 R503;1;0,010;0,010;CZK;34727
1;225;1K0 R0603 R504;1K0 R0603 R504;1;0,010;0,010;CZK;26409
1;226;10K R0603 R505;10K R0603 R505;1;0,010;0,010;CZK;26778
1;227;10K R0603 R506;10K R0603 R506;1;0,010;0,010;CZK;26778
1;228;10K R0603 R507;10K R0603 R507;1;0,010;0,010;CZK;26778
1;229;24K R0603 R508;24K R0603 R508;1;0,010;0,010;CZK;33260
1;230;R1 R2512 R509;R1 R2512 R509;1;1,400;1,400;CZK;28618
1;231;R1 R2512 R510;R1 R2512 R510;1;1,400;1,400;CZK;28618
1;232;1K0/500V R2512 R511;1K0/500V R2512 R511;1;0,430;0,430;CZK;47320
1;233;100R R0603 R601;100R R0603 R601;1;0,010;0,010;CZK;35513
1;234;100R R0603 R602;100R R0603 R602;1;0,010;0,010;CZK;35513
1;235;10K R0603 R603;10K R0603 R603;1;0,010;0,010;CZK;26778
1;236;10K R0603 R604;10K R0603 R604;1;0,010;0,010;CZK;26778
1;237;4K7 R0603 R605;4K7 R0603 R605;1;0,010;0,010;CZK;20536
1;238;4K7 R0603 R606;4K7 R0603 R606;1;0,010;0,010;CZK;20536
1;239;100R R0603 R607;100R R0603 R607;1;0,010;0,010;CZK;35513
1;240;3K3 R0603 R608;3K3 R0603 R608;1;0,010;0,010;CZK;28447
1;241;100R R0603 R609;100R R0603 R609;1;0,010;0,010;CZK;35513
1;242;100R R0603 R610;100R R0603 R610;1;0,010;0,010;CZK;35513
1;243;10K R0603 R611;10K R0603 R611;1;0,010;0,010;CZK;26778
1;244;10K R0603 R612;10K R0603 R612;1;0,010;0,010;CZK;26778
1;245;MMBTA42SMD SOT23 T201;MMBTA42SMD SOT23 T201;1;0,310;0,310;CZK;46029
1;246;MSS1048-2,2uH MSS1048 TL301;MSS1048-2,2uH MSS1048 TL301;1;6,090;6,090;CZK;47322
1;247;MSS1048-220uH MSS1048 TL302;MSS1048-220uH MSS1048 TL302;1;6,090;6,090;CZK;47323
1;248;MSTBA2,5/2-G PHOENIX_MSTBA2,5/2-G X1;MSTBA2,5/2-G PHOENIX_MSTBA2,5/2-G X1;1;11,740;11,740;CZK;29552
1;249;RJ45 2-215877-1 (black) 215877-7 X2;RJ45 2-215877-1 (black) 215877-7 X2;1;3,900;3,900;CZK;19773
1;250;05PIN-S5B-XH-A (white) S5B-XH-A X3;05PIN-S5B-XH-A (white) S5B-XH-A X3;1;2,110;2,110;CZK;6024
1;251;02PIN-S2B-XH-A-BK (black) S2B-XH-A X4;02PIN-S2B-XH-A-BK (black) S2B-XH-A X4;1;1,120;1,120;CZK;6018
1;252;02PIN-S2B-XH-A (white) S2B-XH-A X5;02PIN-S2B-XH-A (white) S2B-XH-A X5;1;1,120;1,120;CZK;6018
1;253;03PIN-S3B-XH-A (white) S3B-XH-A X6;03PIN-S3B-XH-A (white) S3B-XH-A X6;1;1,590;1,590;CZK;6019
1;254;04PIN-S4B-XH-A (white) S4B-XH-A X7;04PIN-S4B-XH-A (white) S4B-XH-A X7;1;1,990;1,990;CZK;6011
1;255;RJ45 4-215877-1 (blue) 215877-7 X8;RJ45 4-215877-1 (blue) 215877-7 X8;1;10,760;10,760;CZK;47362
1;256;08PIN-B8B-ZR-SM4-TF B8B-ZR-SM4-TF X9;08PIN-B8B-ZR-SM4-TF B8B-ZR-SM4-TF X9;1;6,800;6,800;CZK;47325
1;257;DPS;DPS;1;31,300;31,300;CZK;47526
